Book,Exam,Number,ID,Subject,Topic,Question,OptionA,OptionB,OptionC,OptionD,OptionE,CorrectAnswer,Explanation
,,Incisional Hernia,,Anatomy,Abdomen,A female patient presented with Incisional hernia. Which layer comes out first after skin and sub cutaneous fats?,Cremesteric Fascia,Transversalis Fascia,Internal oblique,Rectus Abdominis,Conjoint tendon,B,
,,Hirschsprung Disease,,Anatomy,Abdomen,"A few-days-old child presented with abdominal distension and vomiting and was diagnosed as a case of Hirschsprung disease, which results from loss of parasympathetic ganglia. These ganglia get their preganglionic fibers from which segment of the cord?","S1, 2, 3","S2, 3, 4","L2, 3, 4","L3, 4, 5",None,B,"<span style=""color: #2e7d32""><b>Option B Correct</b></span>
 
 The distal colon and rectum (hindgut) receive their parasympathetic innervation from the Pelvic Splanchnic Nerves, which originate from the sacral spinal segments S2, S3, and S4 (Craniosacral outflow).
 
 <b>Option A, C, D:</b> These segments do not represent the origin of the pelvic parasympathetic outflow."
,,Cholecystitis,,Anatomy,Abdomen,"A middle-aged woman presented in the OPD with a complaint of pain in the epigastric region, posterior thoracic wall, and right shoulder after a fatty meal. The pain is most likely originating from:",Appendix,Gall bladder,Kidneys and ureters,Right deltoid muscle,Right trapezius muscle,B,"<span style=""color: #2e7d32""><b>Option B Correct</b></span>
 
 This is the classic presentation of Biliary Colic (Gallbladder pain). Fatty meals stimulate CCK release, causing gallbladder contraction against a stone. The pain radiates to the **Right Shoulder/Scapula** (Boas' sign) due to irritation of the phrenic nerve (C3,4,5 - shoulder tip) or local somatic referral (T7-T9).
 
 <b>Option A:</b> Appendix causes RIF pain.
 
 <b>Option C:</b> Renal pain radiates from loin to groin.
 
 <b>Option D, E:</b> Muscle pain would be localized and reproducible by movement, not meals."
,,Duodenal Ulcer,,Anatomy,Abdomen,A patient came with epigastric pain heartburn on endoscopy perforation of 1st part of duodenum was seen which artery is erroded in duodenal ulcer?,Gastroepiploic artery,Gastroduodenal artery,Right gastric artery,Left gastric artery,Splenic artery,B,
,,Gastric Ulcer,,Anatomy,Abdomen,A patient develops bleeding from a gastric ulcer located on the posterior wall of the stomach. Which artery is most likely to be the source of bleeding?,Left gastric artery,Right gastric artery,Left gastroepiploic artery,Short gastric arteries,Splenic artery,E,"<span style=""color: #2e7d32""><b>Option E Correct</b></span><br>The <b>Splenic Artery</b> runs along the posterior aspect of the stomach (pancreatic bed). A <b>Posterior Gastric Ulcer</b> can erode directly into this large vessel, causing massive hemorrhage."
,,Mesenteric Ischemia,,Anatomy,Abdomen,A patient develops ischemic colitis localized to the transverse colon. Which artery is most likely involved?,Middle colic artery,Right colic artery,Left colic artery,Ileocolic artery,None of them,A,"The middle colic artery, a branch of the superior mesenteric artery, supplies the transverse colon. Obstruction or thrombosis of this artery can lead to ischemia in this segment."
,,Lymphatic Drainage,,Anatomy,Abdomen,"A patient has a boil on the Labia majora, below the hymen. Which group of lymph nodes is involved?",Medial group Horizontal superficial inguinal LN,Vertical group of upper middle superficial inguinal LN,Vertical group of superficial inguinal LN,Deep inguinal LN,External iliac LN,A,"<span style=""color: #2e7d32""><b>Option A Correct</b></span>
 
 The Superficial Inguinal Lymph Nodes are arranged in a T-shape. The **Horizontal group** drains the anterior abdominal wall, perineum, and external genitalia (including Labia Majora). Specifically, the **Medial** aspect of the horizontal group receives lymph from the perineum/genitalia.
 
 <b>Option C:</b> Vertical group drains the lower limb.
 
 <b>Option D, E:</b> These drain deep structures or are secondary nodes."
,,Duodenal Ulcer,,Anatomy,Abdomen,A patient presented with bleeding from a posterior duodenal ulcer rupture. Which of the following arteries is responsible for this?,Superior pancreaticoduodenal,SMA,Gastroduodenal artery,Celiac artery,Splenic artery,C,"<span style=""color: #2e7d32""><b>Option C Correct</b></span>
 The gastroduodenal artery lies directly posterior to the first part of the duodenum. A posterior ulcer perforation here can erode the artery causing severe bleeding.
 
 <b>Option A:</b> The superior pancreaticoduodenal artery is a branch of the GDA; the GDA itself is the main vessel at risk.
 
 <b>Option B:</b> The Superior Mesenteric Artery (SMA) is located more inferiorly.
 
 <b>Option D:</b> The Celiac artery is the main trunk proximal to the GDA.
 
 <b>Option E:</b> The Splenic artery runs behind the stomach and would be affected by a posterior gastric ulcer."
,,Inguinal Hernia,,Anatomy,Abdomen,"A Patient presented with right sided inguinal hernia, cough impulse positive but deep ring occlusion test is negative, which anatomical landmark is used to differentiate between direct and indirect inguinal hernia:",Fascia transversalis,Deep ring,Lateral border of external oblique,Symphysis pubis,Inferior epigastric vessels,E,"The relationship to the Inferior Epigastric Vessels defines the hernia type: Indirect hernias are lateral to the vessels, and Direct hernias are medial to them (Hesselbach's triangle)."
,,Referred Pain,,Anatomy,Abdomen,"A Patient presented with ureteric stone, having referred pain to groin and scrotum. Which nerve carries sensory fibers and responsible for this pattern?",Ilioinguinal,Genitofemoral,Illiohypogastric,Pudendal,None of them,B,"The Genitofemoral nerve (L1-L2) supplies both the sensation to the scrotum (genital branch) and carries visceral afferents from the upper ureter, leading to the characteristic referred pain pattern."
,,Biliary Anatomy,,Anatomy,Abdomen,A patient presents with elevated alkaline phosphatase and obstructive jaundice. Imaging reveals a stone obstructing the common bile duct. Which artery is most at risk of injury during surgical intervention in this area?,Gastroduodenal artery,Left gastric artery,Splenic artery,Superior mesenteric artery,Inferior pancreaticoduodenal artery,A,"<span style=""color: #2e7d32""><b>Option A Correct</b></span><br>The <b>Gastroduodenal Artery</b> runs directly <b>Posterior to the First Part of the Duodenum</b> and the distal Common Bile Duct. It is a critical structure at risk during CBD exploration or procedures in the porta hepatis."
,,Abdominal Trauma,,Anatomy,Abdomen,"A patient sustains a stab wound 3 cm deep to the right of umbilicus. Initially stable, he becomes hypotensive after 2 hours. Likely source of bleeding?",Inferior vena cava,Aorta,Superior mesenteric artery,Portal vein,Ileocolic artery,C,"Wound location -> mid-abdomen, right of umbilicus. Delayed hypotension -> intra-abdominal arterial bleed. SMA lies in this region -> most likely source."
,,Paracentesis,,Anatomy,Abdomen,A patient undergoing ascetic tap needle passed to superior surface of bladder which artery is likely in danger?,Superior Epigastric artery,Inferior Epigastric artery,Deep Circumflex artery,Superficial Circumflex artery,None of them,B,
,,Peptic Ulcer Disease,,Anatomy,Abdomen,A patient with a peptic ulcer has epigastric pain carried by which of the following nerves?,Intercostal nerve,Lesser splanchnic nerve,Greater splanchnic nerve,Least splanchnic nerve,None,C,"<span style=""color: #2e7d32""><b>Option C Correct</b></span>
 
 Visceral pain from the foregut (Stomach/Duodenum) travels via sympathetic fibers. The preganglionic fibers arise from T5-T9 segments and travel in the **Greater Splanchnic Nerve**.
 
 <b>Option B:</b> Lesser Splanchnic (T10-T11) supplies the midgut.
 
 <b>Option D:</b> Least Splanchnic (T12) supplies the kidneys/hindgut.
 
 <b>Option A:</b> Intercostal nerves carry somatic pain (body wall)."
,,Portal Hypertension,,Anatomy,Abdomen,A patient with cirrhosis develops caput medusae. Which veins connect superficial veins to portal veins?,Paraumbilical veins,Thoraco epigastric veins,Inferior epigastric veins,Saphenous veins,None of them,A,Paraumbilical veins (portal) anastomose with superficial epigastric veins (systemic) at the umbilicus.
,,Peptic Ulcer Disease,,Anatomy,Abdomen,A patient with peptic ulcer has Epigastric pain carried by which of the following nerve?,Intercostal nerve,Greater splanchnic nerve,Lesser splanchnic nerve,Least splanchnic nerve,Internal Thoracic,B,"<span style=""color: #2e7d32""><b>Option B Correct</b></span><br>Visceral pain from the foregut (Stomach/Epigastrium) travels via sympathetic fibers in the <b>Greater Splanchnic Nerve</b> (T5-T9)."
,,Referred Pain,,Anatomy,Abdomen,A patient with ureteric stone presents in ER with the complain of severe pain in right lumber region which is also radiating to the groin and flank. The pain is referred by which nerve?,Genitofemoral nerve,Ilioinguinal nerve,Hypogastric nerve,Femoral nerve,None of them,B,Referred pain of ureteric colic to Loin & Groin is via Ilioinguinal and Iliohypogastric nerves (T12-L1). Thigh & Testes via Genitofemoral.
,,Abdominal Wall,,Anatomy,Abdomen,"A person got a stab wound 3cm vertical on the lateral right side of the linea alba. Initially, he was fine but then developed hypotension and shock. Which vessel is most likely damaged?",IVC,Superior mesenteric artery,Inferior mesenteric artery,Abdominal aorta,Ileal branch of superior mesenteric artery,A,"<span style=""color: #2e7d32""><b>Option A Correct</b></span>
 
 The Inferior Vena Cava (IVC) runs vertically along the posterior abdominal wall, approximately 2.5 to 3 cm to the right of the midline (linea alba). A deep stab wound in this location can lacerate the IVC, causing massive hemorrhage and shock.
 
 <b>Option D:</b> The Abdominal Aorta runs to the left of the midline.
 
 <b>Option B, C:</b> The SMA and IMA originate from the anterior aorta near the midline but are deeper and less likely to match this specific surface marking for immediate massive shock compared to the IVC."
,,Duodenal Ulcer,,Anatomy,Abdomen,A person presented to emergency with blood in vomitus and signs of hypovolemic shock. On opening the abdomen surgeon observed bleeding from posterior wall of duodenum. Which artery would more likely be the cause of bleeding?,Left and right gastric,Left gastric,Gastroepiploic,Gastroduodenal,Superior mesenteric,D,"<span style=""color: #2e7d32""><b>Option D Correct</b></span><br>The <b>Gastroduodenal Artery</b> runs directly <b>posterior to the first part of the duodenum</b>. A posterior duodenal ulcer can erode into this artery, causing massive, life-threatening hemorrhage.<br><br><b>Option B:</b> Left Gastric is along the lesser curvature of the stomach."
,,Retroperitoneal Vessels,,Anatomy,Abdomen,A stab wound to the abdomen is suspected to have injured a large retroperitoneal vessel coursing on the right side of the vertebral column. Which vessel is most likely injured?,Inferior vena cava,Abdominal aorta,Portal vein,Superior mesenteric artery,Renal vein,A,"<span style=""color: #2e7d32""><b>Option A Correct</b></span><br>The <b>Inferior Vena Cava (IVC)</b> is a large retroperitoneal vessel that ascends on the <b>Right</b> side of the vertebral column/abdominal aorta. The Aorta lies on the Left."
,,Hepatoduodenal Ligament,,Anatomy,Abdomen,A surgeon nicks the hepatoduodenal ligament during surgery from the right side. Which structure should be preserved?,Portal vein,CBD,Cystic artery,Gastric artery,Hepatic artery,B,"<span style=""color: #2e7d32""><b>Option B Correct</b></span>
 
 The structures in the free edge of the Hepatoduodenal ligament (Portal Triad) are arranged such that the **Common Bile Duct (CBD)** is on the **Right**, the Hepatic Artery Proper is on the **Left**, and the Portal Vein is **Posterior** to both. Approaching from the right, the CBD is the first structure encountered.
 
 <b>Option E:</b> The Hepatic artery is medial (left) to the duct.
 
 <b>Option A:</b> The Portal vein is posterior."
,,Peritoneal Spaces,,Anatomy,Abdomen,"A surgeon was performing laparotomy and a house officer accidentally spilled normal saline into the abdominal cavity. The patient is lying supine. After passing over the pelvic brim, where will the fluid most likely accumulate?",Right and left paracolic gutters,Subphrenic space,Subhepatic (Morison's pouch),Pelvic cavity,Lesser sac,D,"<span style=""color: #2e7d32""><b>Option D Correct</b></span><br>In the <b>Supine</b> position, the <b>Pelvic Cavity</b> (specifically the Rectovesical or Rectouterine pouch) is the most dependent part of the peritoneal cavity <i>inferior</i> to the pelvic brim. Fluid naturally flows down the gutters into the pelvis.<br><br><b>Option C:</b> Morison's pouch is the most dependent part of the <i>upper</i> abdomen in the supine position."
,,Gastric Perforation,,Anatomy,Abdomen,A year-old man with a perforated gastric ulcer complains of pain in his stomach. It is observed that pain comes from peritoneal irritation by gastric contents in the lesser sac. Which of the following nerves contains sensory nerve fibers that convey this sharp stabbing pain?,Greater splanchnic nerve,Lower intercostal nerve,White rami communicates,Vagus nerve,None,B,"<span style=""color: #2e7d32""><b>Option B Correct</b></span>
 
 Sharp, stabbing, well-localized pain indicates **Somatic Pain** arising from the irritation of the Parietal Peritoneum. The parietal peritoneum lining the abdominal wall is innervated by the somatic spinal nerves, specifically the **Lower Intercostal Nerves** (T7-T11) and Subcostal nerve.
 
 <b>Option A:</b> Greater Splanchnic nerve carries **Visceral** pain (dull, poorly localized, cramping).
 
 <b>Option D:</b> Vagus nerve is parasympathetic and does not carry pain."
,,Testicular Vein,,Anatomy,Abdomen,A young boy had a testicular tumor for which orchidectomy was performed and right testicular vein ligated to prevent seeding of the tumor; it drains into,Renal vein,Portal vein,IVC,Azygous vein,None of them,C,"The Right Testicular Vein drains directly into the Inferior Vena Cava, while the left drains into the left renal vein."
,,Cholecystectomy,,Anatomy,Abdomen,After cholecystectomy drain placed in:,Left subphrenic compartment,Right paracolic gutter,Right subhepatic compartment,Right subphrenic compartment,Upper right infracolic compartment,C,Pancreatitis - lesser sac. Laparotomy - right colic
,,Appendectomy,,Anatomy,Abdomen,At mcburny's point during appendectomy structure to be damaged is;,Iliohypogastric nerve,Genitofemoral Nerve,Deep circumflex artery,Inferior epigastric artery,None of them,A,
,,Inguinal Ligament,,Anatomy,Abdomen,"At the mid-inguinal point, an important anatomical structure is located. Which of the following is found at the midpoint of the inguinal ligament?",Superficial inguinal ring,Deep inguinal ring,Inferior epigastric artery,Femoral nerve,Femoral artery,B,"<span style=""color: #2e7d32""><b>Option B Correct</b></span><br>The <b>Deep Inguinal Ring</b> is located at the <b>Midpoint of the Inguinal Ligament</b> (midway between ASIS and Pubic Tubercle).<br><br><b>Clarification:</b> The <i>Mid-Inguinal Point</i> (midway between ASIS and Pubic Symphysis) is where the Femoral Artery is found. The question stem mentions ""mid-inguinal point"" but explicitly asks about the ""midpoint of the inguinal ligament,"" making Deep Ring the correct answer."
,,Pancreatic Cancer,,Anatomy,Abdomen,Cancer of Head of pancreas will compress which structure:,SMA,CBD,Portal vein,Pancreatic duct,None of them,B,
,,Cystic Artery,,Anatomy,Abdomen,Cystic artery is the branch of:,Gastroduodenal artery,Right gastric artery,Right hepatic artery,Left hepatic artery,Left Gastric artery,C,
,,Ureteric Injury,,Anatomy,Abdomen,"During a total abdominal hysterectomy, as the uterus is being mobilized and removed, postoperatively, she complains of flank/loin pain. Which of the following structures is most likely to be accidentally injured due to its close anatomical relationship with the uterus?",Internal iliac artery,Ureter ligation,Ovarian artery,Fallopian tube,Round ligament,B,"Water under the bridge: The ureter passes very close to the uterine artery in the pelvic cavity. During ligation of uterine vessels, the ureter is at significant risk of being accidentally clamped or ligated, leading to obstruction and flank pain (hydronephrosis)."
,,Appendicular Artery,,Anatomy,Abdomen,"During an appendectomy, the surgeon needs to ligate the appendicular artery to control bleeding. The appendicular artery is a branch of an artery arising from the superior mesenteric artery, which supplies the terminal ileum and cecum as well. Which artery gives rise directly to the appendicular artery?",Right colic artery,Post Ceocal Artery,Ileocolic artery,Inferior mesenteric artery,Marginal artery,C,"<span style=""color: #2e7d32""><b>Option C Correct</b></span><br>The <b>Appendicular Artery</b> is a branch of the <b>Ileocolic Artery</b> (specifically its posterior cecal branch), which itself comes from the Superior Mesenteric Artery."
,,Abdominal Wall,,Anatomy,Abdomen,"During breast cancer surgery requiring grafting from the suprapubic region, the reconstructive surgeon must preserve which artery that supplies this donor area and may require reconstruction?",Superior epigastric artery,Inferior epigastric artery,Internal thoracic artery,Thoracoacromial artery,Lateral thoracic artery,B,"<span style=""color: #2e7d32""><b>Option B Correct</b></span><br>The <b>Inferior Epigastric Artery</b> supplies the lower abdominal wall (rectus abdominis). It is the critical pedicle for <b>TRAM (Transverse Rectus Abdominis Myocutaneous)</b> or DIEP flaps used in breast reconstruction."
,,Renal Anomalies,,Anatomy,Abdomen,"During cadaveric dissection, a surgeon wants to identify what prevents the ascent of a horseshoe kidney.",Inferior mesenteric artery,Superior mesenteric artery,Renal vein,Renal artery,Adrenal artery,A,"In a horseshoe kidney, the fusion of lower poles gets trapped under the inferior mesenteric artery, preventing normal ascent."
,,Inguinal Hernia,,Anatomy,Abdomen,"During surgical exploration, which of the following layers is immediately encountered first upon opening the hernia sac? [Note: Context implies covering OF the sac or structure immediately outside]",Fascia Transversalis,External oblique aponeurosis,Internal oblique,Peritoneum,None,A,"<span style=""color: #2e7d32""><b>Option A Correct</b></span>
 
 The covering immediately surrounding the peritoneal sac of a Direct Inguinal Hernia is the **Fascia Transversalis**. For an Indirect hernia, it is the Internal Spermatic Fascia (derived from Fascia Transversalis). Therefore, before reaching the peritoneum (the sac itself), the surgeon encounters the Fascia Transversalis layer.
 
 <b>Option B:</b> External Oblique forms the anterior wall of the canal (superficial).
 
 <b>Option D:</b> Peritoneum *is* the sac."
,,Renal Anomalies,,Anatomy,Abdomen,"In a patient with a pelvic kidney undergoing contrast imaging, which of the following best explains the altered dye accentuation compared to a normally located kidney?",Normal arterial supply leads to normal dye accentuation,Anomalous blood supply causes delayed dye accentuation,Pelvic kidney shows earlier dye accentuation due to proximity to bladder,Dye accentuation is absent due to non-functioning kidney,Dye accentuation is increased due to higher perfusion pressure,B,"<span style=""color: #2e7d32""><b>Option B Correct</b></span><br>A <b>Pelvic Kidney</b> (Ectopic Kidney) fails to ascend. It often retains its embryonic blood supply from the <b>Iliac Arteries</b> or distal aorta. This anomalous and often less efficient vascular supply can lead to <b>Delayed Dye Accentuation</b> (Nephrogram phase) compared to a normal kidney."
,,Mesenteric Ischemia,,Anatomy,Abdomen,"In an occlusion of the superior mesenteric artery (SMA), which portion of the large intestine is typically spared due to collateral blood supply?",Cecum,Ascending colon,Transverse colon,Descending colon,None,D,"<span style=""color: #2e7d32""><b>Option D Correct</b></span><br>The SMA supplies the gut up to the distal transverse colon. The <b>Descending Colon</b> is supplied by the <b>Inferior Mesenteric Artery (IMA)</b>, so it is spared in SMA occlusion."
,,Appendicitis,,Anatomy,Abdomen,In appendicitis pain around the umbilicus pass thorough:,Sensory through T10,Sympathetic nerve at T10,Parasympathetic,Ilioinguinal nerve,None of them,B,"<span style=""color: #2e7d32""><b>Option B Correct</b></span><br>Visceral pain from the appendix (midgut) travels via <b>Sympathetic Fibers</b> to the <b>T10</b> spinal segment, referring pain to the T10 dermatome (Umbilicus)."
,,Mesenteric Ischemia,,Anatomy,Abdomen,Intestinal infarction due to SMA blockage spares which part of the large intestine?,Appendix,Ileum,Ascending colon,Descending colon,None,D,"<span style=""color: #2e7d32""><b>Option D Correct</b></span>
 The Superior Mesenteric Artery (SMA) supplies the midgut, which extends from the distal duodenum to the proximal 2/3 of the transverse colon. The Descending colon is derived from the hindgut and is supplied by the Inferior Mesenteric Artery (IMA), so it is spared in SMA occlusion.
 
 <b>Option A, B, C:</b>
 The Appendix, Ileum, and Ascending colon are all parts of the midgut and are supplied by the SMA."
,,Duodenum Blood Supply,,Anatomy,Abdomen,Patient is presented with bleeding ulcer in the first part of duodenum. Which vessel will be most likely ligated to stop the blood loss?,Superior pancreaticoduodenal artery,Inferior pancreaticoduodenal artery,Gastroduodenal Artery,Splenic Artery,None of them,C,Gastroduodenal Artery descends posterior to the first part of the duodenum. Posterior ulcers commonly erode it causing hemorrhage.
,,Duodenal Ulcer,,Anatomy,Abdomen,"Patient presented with GERD and postprandial pain that relieves on eating, on endoscopy this is minor bleed on back wall of duodenum, artery in this region with potential to bleed",Superior pancreaticoduodenal artery,Inferior pancreaticoduodenal artery,Gastric artery,Splenic artery,Gastroduodenal artery,E,"Explanation: Duodenal ulcers, especially those located on the posterior wall of the first part of the duodenum, can erode into the highly vascular tissue behind it. The artery most at risk of severe hemorrhage in this area is the Gastroduodenal Artery (GDA)."
,,Cholecystitis,,Anatomy,Abdomen,Patient presented with RHC pain dermatome for cholecystitis include:,T3–9,T10 – 12,T7 – 9,T8 – T12,None,C,"<span style=""color: #2e7d32""><b>Option C Correct</b></span><br>The Gallbladder is innervated by the celiac plexus (Sympathetic T7-T9). Pain from cholecystitis is referred to the <b>T7–T9</b> dermatomes (Epigastrium/Right Hypochondrium)."
,,Ureteric Calculus,,Anatomy,Abdomen,Patient presents with pain in lumbar region. Stone at pelviureteric junction pain arising from which segment?,T11 – L1,L1 – L4,T12 – L2,L5,T11,C,
,,Portal Hypertension,,Anatomy,Abdomen,Patient with pancreatic adenocarcinoma presents with upper GI bleed. Endoscopy shows only fundal varices. Which structure is involved?,Thrombosis of splenic artery,Thrombosis of splenic vein,Thrombosis of left gastric vein,Thrombosis of portal vein,Thrombosis of left gastroepiploic vein,B,"Isolated fundal varices are due to splenic vein thrombosis, commonly from pancreatic tumors. Unlike portal vein thrombosis, esophageal varices are absent."
,,Portal Hypertension,,Anatomy,Abdomen,Portal hypertension causes blood to seek collateral systemic routes; the dilation of abdominal veins involves shunting blood from the portal system through the paraumbilical veins to the veins of the abdominal wall and ultimately to the SVC and IVC via the Azygos/systemic venous system.,Internal thoracic,Inferior epigastric,Superior epigastric,External iliac,None of them,B,Caput Medusae involves the Paraumbilical veins (portal) anastomosing with the superficial epigastric veins (systemic) which drain into the femoral/iliac system and superior/inferior epigastric veins.
,,Gastric Perforation,,Anatomy,Abdomen,Posterior perforation of the posterior wall of the stomach will lead to leakage of gastric contents into?,Greater Sac,Lesser Sac,Right Subhepatic Space,Right Posterior subphrenic space,None,B,"<span style=""color: #2e7d32""><b>Option B Correct</b></span>
 
 The stomach forms the anterior wall of the Lesser Sac (Omental Bursa). Therefore, a perforation of the **posterior** wall of the stomach will result in the leakage of gastric contents directly into the **Lesser Sac**.
 
 <b>Option A:</b> Anterior perforation would leak into the Greater Sac.
 
 <b>Option C, D:</b> These are potential spaces but the immediate reservoir for posterior leakage is the lesser sac."
,,Cholecystectomy,,Anatomy,Abdomen,"Profuse bleeding after Cholecystectomy due to which artery damaged, which is branch of",Hepatic artery,Splenic artery,Aorta,Cystic artery,Celiac artery,A,
,,Rectus Sheath,,Anatomy,Abdomen,Rectus sheath above arcuate line is formed by:,Internal oblique and transverse abdominis,External and internal oblique aponeurosis,Transverse abdominis aponeurosis,Internal oblique aponeurosis,Rectus muscle,A,
,,Hepatoduodenal Ligament,,Anatomy,Abdomen,Surgeon nick hepatodudenal ligament during surgery from right side which structure Should be preserved?,Portal vein,CBD,Cystic artery,Gastric artery,Hepatic artery,B,
,,Renal Anatomy,,Anatomy,Abdomen,"Surgeon planned radical nephrectomy of the patient, on posterior approach he is bound to encounter",10th rib,12th rib,9th rib,8th rib,None of them,B,The 12th rib is the landmark rib forming the superior boundary of the operative field during a posterior or flank approach to the kidney.
,,Lesser Sac,,Anatomy,Abdomen,The lesser sac of the peritoneum is closely related to which important vascular structure?,Portal triad,Inferior vena cava,Abdominal aorta,Renal artery,Superior mesenteric artery,A,"<span style=""color: #2e7d32""><b>Option A Correct</b></span><br>The <b>Portal Triad</b> (Hepatic Artery, Portal Vein, Bile Duct) runs within the Hepatoduodenal Ligament, which forms the <b>Anterior Boundary</b> of the Epiploic Foramen (Foramen of Winslow), the entrance to the Lesser Sac."
,,Porta Hepatis,,Anatomy,Abdomen,Tumor of the porta hepatis is most likely to obstruct which of the following structure,Cystic duct,Portal vein,Hepatic artery,Common bile duct,Splenic vein,B,
