Book,Exam,Number,ID,Subject,Topic,Question,OptionA,OptionB,OptionC,OptionD,OptionE,CorrectAnswer,Explanation
,,,,Cell Physiology (BRS),Membrane Potential,What is the standard resting membrane potential of a typical neuron?,-60mV,-70mV,-80mV,-90mV,-100mV,B,"<div style=""text-align: justify""><b><span style=""color:green"">-70mV</span></b><br>This value represents the stable electrical equilibrium for neurons, maintained primarily by the leak of potassium ions and the sodium-potassium pump.<br><br><b><span style=""color:red"">-60mV</span></b><br>This is too close to the firing threshold; a nerve at this potential would be hyper-excitable and unstable.<br><br><b><span style=""color:red"">-80mV</span></b><br>While some cells sit here, standard neurons require the specific metabolic balance that results in -70mV.<br><br><b><span style=""color:red"">-90mV</span></b><br>This higher negativity is characteristic of larger cells like skeletal muscles, which have different ion permeability profiles.<br><br><b><span style=""color:red"">-100mV</span></b><br>At this level, the cell would be so deeply inhibited that it would require a massive stimulus to ever reach an action potential.<br><br><center><b><span style=""color:goldenrod"">💡 Tip</span></b><br>Think of -70 as the ""base camp"" for nerve signals.</center></div>"
,,,,Cell Physiology (BRS),Membrane Potential,Which electrical potential is characteristic of a skeletal muscle fiber at rest?,-50mV,-70mV,-80mV,-90mV,-110mV,D,"<div style=""text-align: justify""><b><span style=""color:green"">-90mV</span></b><br>Muscle cells maintain this deeper negative potential to ensure that they only contract when receiving a strong, intentional signal.<br><br><b><span style=""color:red"">-50mV</span></b><br>This level indicates a cell that is actively depolarizing; it cannot be considered a ""resting"" state.<br><br><b><span style=""color:red"">-70mV</span></b><br>This is the specific voltage signature of a nerve cell, which operates at a different electrical baseline than muscle.<br><br><b><span style=""color:red"">-80mV</span></b><br>This value falls short of the full stabilization required for the metabolic and electrical demands of muscle tissue.<br><br><b><span style=""color:red"">-110mV</span></b><br>This is beyond the equilibrium potential of the ions involved, making it an unsustainable resting level for the cell.<br><br><center><b><span style=""color:goldenrod"">💡 Tip</span></b><br>Muscle is ""More"" negative because it's a ""Mightier"" battery.</center></div>"
,,,,Cell Physiology (BRS),Membrane Potential,Which sequence of events characterizes an Action Potential?,Static equilibrium,Rapid depolarization followed by repolarization,Constant hyperpolarization,Gradual leak of sodium ions,Permanent loss of membrane polarity,B,"<div style=""text-align: justify""><b><span style=""color:green"">Rapid depolarization followed by repolarization</span></b><br>This describes the complete ""spike"" where the cell voltage shoots up and then quickly recovers to its baseline.<br><br><b><span style=""color:red"">Static equilibrium</span></b><br>This describes a resting state where no signals are being sent, the exact opposite of an action potential.<br><br><b><span style=""color:red"">Constant hyperpolarization</span></b><br>This is a state of deep inhibition where the cell is made harder to fire, rather than a dynamic signal.<br><br><b><span style=""color:red"">Gradual leak of sodium ions</span></b><br>Leaks occur at rest but do not possess the speed or magnitude required to be classified as an action potential.<br><br><b><span style=""color:red"">Permanent loss of membrane polarity</span></b><br>A permanent loss would mean the cell has died; action potentials are temporary and fully reversible.<br><br><center><b><span style=""color:goldenrod"">💡 Tip</span></b><br>Action Potential = The wave. Depol is the peak, Repol is the crash.</center></div>"
,,,,Cell Physiology (BRS),Membrane Potential,What serves as the primary trigger for the opening of voltage-gated ion channels?,Chemical neurotransmitters,Binding of hormones,A shift in the membrane potential,Intracellular second messengers,External physical pressure,C,"<div style=""text-align: justify""><b><span style=""color:green"">A shift in the membrane potential</span></b><br>These channels contain voltage-sensing domains that change shape when the electrical field across the membrane alters.<br><br><b><span style=""color:red"">Chemical neurotransmitters</span></b><br>These act on ligand-gated receptors, which use chemical binding rather than electrical sensing to open.<br><br><b><span style=""color:red"">Binding of hormones</span></b><br>Hormones are ligands that typically initiate slow metabolic changes or open ligand-gated channels.<br><br><b><span style=""color:red"">Intracellular second messengers</span></b><br>While they can modulate channels, they are chemical signals within the cell, not the primary ""voltage"" trigger.<br><br><b><span style=""color:red"">External physical pressure</span></b><br>Mechanical force triggers mechanoreceptors, which is a different class of channel gated by physical tension.<br><br><center><b><span style=""color:goldenrod"">💡 Tip</span></b><br>Voltage-gated = Electric-sensing. It reacts to the ""Shock"" of voltage change.</center></div>"
,,,,Cell Physiology (BRS),Membrane Potential,Ligand-gated channels are primarily regulated by which of the following?,Temperature changes,Changes in voltage,Mechanical stretch,Hormones and neurotransmitters,Magnetic fields,D,"<div style=""text-align: justify""><b><span style=""color:green"">Hormones and neurotransmitters</span></b><br>These chemical ""ligands"" bind to specific receptor sites on the channel protein to induce a conformational change.<br><br><b><span style=""color:red"">Temperature changes</span></b><br>Thermal energy affects thermoreceptors (like TRP channels), but ""ligand-gated"" refers specifically to chemical triggers.<br><br><b><span style=""color:red"">Changes in voltage</span></b><br>This is the domain of voltage-gated channels, which ignore chemicals in favor of electrical charges.<br><br><b><span style=""color:red"">Mechanical stretch</span></b><br>This gating mechanism responds to the physical pulling of the cell membrane, not the binding of a molecule.<br><br><b><span style=""color:red"">Magnetic fields</span></b><br>Biological membranes are generally not gated by magnetic fields in standard human neurophysiology.<br><br><center><b><span style=""color:goldenrod"">💡 Tip</span></b><br>A Ligand is like a ""Hand"" (Hormone/Neurotransmitter) turning a doorknob.</center></div>"
,,,,Cell Physiology (BRS),Membrane Potential,Which ion has the highest permeability across a nerve membrane during its resting state?,Na+,Ca2+,K+,Cl-,H+,C,"<div style=""text-align: justify""><b><span style=""color:green"">K+</span></b><br>Potassium ""leak"" channels are mostly open at rest, allowing K+ to move freely and dominate the resting voltage.<br><br><b><span style=""color:red"">Na+</span></b><br>Sodium channels are tightly closed at rest; if they weren't, the cell would constantly fire and eventually die from exhaustion.<br><br><b><span style=""color:red"">Ca2+</span></b><br>Calcium is kept at extremely low concentrations inside the cell and is primarily used for signaling, not maintaining the resting baseline.<br><br><b><span style=""color:red"">Cl-</span></b><br>While chloride does contribute, its permeability in neurons is significantly lower than that of potassium.<br><br><b><span style=""color:red"">H+</span></b><br>Hydrogen ions relate to pH balance and do not serve as the primary ion for determining resting potential.<br><br><center><b><span style=""color:goldenrod"">💡 Tip</span></b><br>K+ is the ""King"" of the resting state because it has the most ""Keys"" (open channels).</center></div>"
,,,,Cell Physiology (BRS),Membrane Potential,How is depolarization characterized regarding membrane potential?,Potential becomes more negative,Potential remains static,Potential becomes less negative,Potential reaches zero exactly,Potential becomes highly positive only,C,"<div style=""text-align: justify""><b><span style=""color:green"">Potential becomes less negative</span></b><br>When positive ions (like Na+) enter the cell, they cancel out the internal negativity, moving the ""needle"" toward zero.<br><br><b><span style=""color:red"">Potential becomes more negative</span></b><br>This describes hyperpolarization, where the cell becomes even more ""polarized"" away from zero.<br><br><b><span style=""color:red"">Potential remains static</span></b><br>A static potential means no ions are shifting net charge, which is the definition of a stable resting state.<br><br><b><span style=""color:red"">Potential reaches zero exactly</span></b><br>While the potential passes through zero, depolarization describes the *direction* of the movement, not just a single point.<br><br><b><span style=""color:red"">Potential becomes highly positive only</span></b><br>Depolarization starts the moment the charge becomes even slightly less negative than -70mV, long before it hits positive territory.<br><br><center><b><span style=""color:goldenrod"">💡 Tip</span></b><br>Depolarization = ""Destroying"" the negative pole.</center></div>"
,,,,Cell Physiology (BRS),Membrane Potential,What is the direct result of hyperpolarization on a cell membrane?,It becomes easier to excite,It becomes more negative,It hits the threshold faster,It becomes more positive,It loses its permeability to K+,B,"<div style=""text-align: justify""><b><span style=""color:green"">It becomes more negative</span></b><br>This occurs when extra positive charge leaves (K+) or negative charge enters (Cl-), making the cell harder to excite.<br><br><b><span style=""color:red"">It becomes less negative</span></b><br>This is the definition of depolarization, which makes the cell more likely to fire an action potential.<br><br><b><span style=""color:red"">It stays at -70mV</span></b><br>This is the normal resting level; ""hyper"" implies going beyond the normal negative state.<br><br><b><span style=""color:red"">It becomes zero</span></b><br>Zero represents a complete loss of polarity, whereas hyperpolarization is an increase in the negative polarity.<br><br><b><span style=""color:red"">It becomes positive</span></b><br>A positive interior is the result of massive sodium influx during the peak of an action potential, not hyperpolarization.<br><br><center><b><span style=""color:goldenrod"">💡 Tip</span></b><br>Hyperpolarization is like ""Super-cooling"" the cell's excitement.</center></div>"
,,,,Cell Physiology (BRS),Membrane Potential,Which pharmacological agents specifically block voltage-sensitive Na+ channels?,TEA,Digitalis,Lidocaine and Tetrodotoxin (TTX),Acetylcholine,Calcium Gluconate,C,"<div style=""text-align: justify""><b><span style=""color:green"">Lidocaine and Tetrodotoxin (TTX)</span></b><br>These molecules act as physical ""plugs"" for the sodium channel pore, preventing the influx of Na+ and stopping the nerve signal.<br><br><b><span style=""color:red"">TEA</span></b><br>This compound is a selective inhibitor of potassium channels, meaning it affects the ""falling"" phase of the signal rather than the ""rising"" phase.<br><br><b><span style=""color:red"">Digitalis</span></b><br>This drug inhibits the Sodium-Potassium pump, which is a slow active transporter, not a fast voltage-gated channel.<br><br><b><span style=""color:red"">Acetylcholine</span></b><br>This is a neurotransmitter that usually *opens* ligand-gated channels rather than blocking voltage-gated sodium channels.<br><br><b><span style=""color:red"">Calcium Gluconate</span></b><br>This is a supplement used to stabilize membranes or treat electrolyte imbalances, not a specific Na+ channel blocker.<br><br><center><b><span style=""color:goldenrod"">💡 Tip</span></b><br>Lidocaine and TTX ""Tame"" the Sodium rush.</center></div>"
,,,,Cell Physiology (BRS),Membrane Potential,What is the primary action of Tetraethylammonium (TEA) on excitable membranes?,It blocks Na+ influx,It activates the Na+/K+ pump,It blocks voltage-gated K+ channels,It opens Cl- channels,It mimics the effect of Lidocaine,C,"<div style=""text-align: justify""><b><span style=""color:green"">It blocks voltage-gated K+ channels</span></b><br>By inhibiting these channels, TEA prevents potassium from leaving the cell, which significantly delays the repolarization phase of the action potential.<br><br><b><span style=""color:red"">It blocks Na+ influx</span></b><br>Sodium blocking is the mechanism used by Lidocaine and TTX, whereas TEA targets the potassium current.<br><br><b><span style=""color:red"">It activates the Na+/K+ pump</span></b><br>TEA is an inhibitor of ion channels, not an activator of metabolic pumps.<br><br><b><span style=""color:red"">It opens Cl- channels</span></b><br>There is no physiological evidence that TEA acts as a chloride channel opener.<br><br><b><span style=""color:red"">It mimics the effect of Lidocaine</span></b><br>Lidocaine stops the ""upstroke"" (Na+), whereas TEA stops the ""downstroke"" (K+); they have opposite effects on the signal shape.<br><br><center><b><span style=""color:goldenrod"">💡 Tip</span></b><br>TEA = <b>T</b>erminate <b>E</b>xit of <b>A</b>tom (Potassium).</center></div>"
,,,,Cell Physiology (BRS),Membrane Potential,"During depolarization, what occurs to the activation gates of Na+ channels?",They close slowly,They open rapidly,They become permanently blocked,They allow potassium to exit,They move to a hyperpolarized state,B,"<div style=""text-align: justify""><b><span style=""color:green"">They open rapidly</span></b><br>The positive shift in voltage causes the ""m-gates"" to swing open instantly, allowing the rapid upstroke of the action potential.<br><br><b><span style=""color:red"">They close slowly</span></b><br>The *inactivation* gates close slowly, but the *activation* gates mentioned here must open to start the signal.<br><br><b><span style=""color:red"">They become permanently blocked</span></b><br>The gating process is a dynamic, functional cycle, not a permanent blockage.<br><br><b><span style=""color:red"">They allow potassium to exit</span></b><br>Sodium channels are highly selective for Na+; they do not facilitate the movement of potassium.<br><br><b><span style=""color:red"">They move to a hyperpolarized state</span></b><br>Depolarization is the trigger for the gates; hyperpolarization is a voltage state that typically resets them.<br><br><center><b><span style=""color:goldenrod"">💡 Tip</span></b><br>Depolarization is the ""Go"" signal for the Sodium gates.</center></div>"
,,,,Cell Physiology (BRS),Neuromuscular Transmission,Which neurotransmitter is primarily released from the presynaptic terminal at the neuromuscular junction?,Norepinephrine,Dopamine,Acetylcholine (ACh),Serotonin,GABA,C,"<div style=""text-align: justify""><b><span style=""color:green"">Acetylcholine (ACh)</span></b><br>This molecule is the universal signal at the neuromuscular junction, crossing the synaptic cleft to initiate muscle contraction.<br><br><b><span style=""color:red"">Norepinephrine</span></b><br>While vital for the sympathetic nervous system, this neurotransmitter is not used to signal voluntary muscle fibers at the NMJ.<br><br><b><span style=""color:red"">Dopamine</span></b><br>Dopamine is primarily involved in reward and motor control within the central nervous system, not the peripheral motor terminal.<br><br><b><span style=""color:red"">Serotonin</span></b><br>Serotonin acts largely within the brainstem and gut to regulate mood and motility, rather than direct muscle fiber activation.<br><br><b><span style=""color:red"">GABA</span></b><br>GABA is an inhibitory neurotransmitter of the central nervous system and would not be used to trigger an excitatory muscle response.<br><br><center><b><span style=""color:goldenrod"">💡 Tip</span></b><br>ACh = ""Always Causes Hops"" (Muscle movement).</center></div>"
,,,,Cell Physiology (BRS),Neuromuscular Transmission,Where are nicotinic receptors specifically located within the neuromuscular junction?,Presynaptic terminal,Adrenal medulla,Postsynaptic membranes,Midbrain neurons,Hypothalamus,C,"<div style=""text-align: justify""><b><span style=""color:green"">Postsynaptic membranes</span></b><br>These receptors sit on the muscle side of the synapse, waiting to catch Acetylcholine to open ion channels for contraction.<br><br><b><span style=""color:red"">Presynaptic terminal</span></b><br>The presynaptic side is responsible for releasing the neurotransmitter, not hosting the primary nicotinic motor receptors.<br><br><b><span style=""color:red"">Adrenal medulla</span></b><br>While the medulla has nicotinic receptors, the specific context of neuromuscular transmission focuses on the muscle end plate.<br><br><b><span style=""color:red"">Midbrain neurons</span></b><br>Central neurons use various receptors, but the ""business end"" of neuromuscular transmission is located at the peripheral muscle site.<br><br><b><span style=""color:red"">Hypothalamus</span></b><br>The hypothalamus is a regulatory center for homeostasis and does not serve as the postsynaptic site for motor nerve signals.<br><br><center><b><span style=""color:goldenrod"">💡 Tip</span></b><br>Nicotinic receptors ""Notice"" the signal on the muscle side.</center></div>"
,,,,Cell Physiology (BRS),Neuromuscular Transmission,What is the physiological term for the postsynaptic membrane of a muscle fiber?,Presynaptic bulb,Muscle end plate,Synaptic cleft,Axon hillock,Node of Ranvier,B,"<div style=""text-align: justify""><b><span style=""color:green"">Muscle end plate</span></b><br>This specialized region of the muscle cell membrane contains the high density of receptors necessary for responding to neural signals.<br><br><b><span style=""color:red"">Presynaptic bulb</span></b><br>This is the anatomical term for the end of the nerve fiber where neurotransmitters are stored and released.<br><br><b><span style=""color:red"">Synaptic cleft</span></b><br>The cleft is the physical gap between the nerve and muscle, not the membrane itself.<br><br><b><span style=""color:red"">Axon hillock</span></b><br>This is the region of a neuron where action potentials are initiated, located far from the neuromuscular junction.<br><br><b><span style=""color:red"">Node of Ranvier</span></b><br>Nodes are gaps in the myelin sheath along the axon, serving to speed up signal conduction rather than transmitting to muscle.<br><br><center><b><span style=""color:goldenrod"">💡 Tip</span></b><br>The ""End Plate"" is where the nerve's journey ends and the muscle's starts.</center></div>"
,,,,Cell Physiology (BRS),Neuromuscular Transmission,How is an Excitatory Postsynaptic Potential (EPSP) characterized electrically?,Hyperpolarization,Depolarization,Static potential,Repolarization,Resting equilibrium,B,"<div style=""text-align: justify""><b><span style=""color:green"">Depolarization</span></b><br>An EPSP involves an influx of positive ions that makes the internal potential less negative, bringing the cell closer to firing.<br><br><b><span style=""color:red"">Hyperpolarization</span></b><br>This describes an inhibitory change (IPSP) that makes the cell more negative and harder to excite.<br><br><b><span style=""color:red"">Static potential</span></b><br>A static potential implies no electrical change is occurring, which contradicts the definition of a postsynaptic potential.<br><br><b><span style=""color:red"">Repolarization</span></b><br>Repolarization is the return to baseline after an action potential, rather than the initial excitatory ""nudge"" of an EPSP.<br><br><b><span style=""color:red"">Resting equilibrium</span></b><br>This is the baseline state of the cell; an EPSP is a temporary disruption of this equilibrium toward a more positive state.<br><br><center><b><span style=""color:goldenrod"">💡 Tip</span></b><br>EPSP = ""Excite"" = ""Enter"" positive ions = Depolarization.</center></div>"
,,,,Cell Physiology (BRS),Neuromuscular Transmission,What electrical shift occurs during an Inhibitory Postsynaptic Potential (IPSP)?,Depolarization,Action potential spike,Hyperpolarization,Zero potential,Positive overshoot,C,"<div style=""text-align: justify""><b><span style=""color:green"">Hyperpolarization</span></b><br>An IPSP moves the membrane potential further away from the threshold by making the interior more negative, thus inhibiting the cell.<br><br><b><span style=""color:red"">Depolarization</span></b><br>Depolarization is the hallmark of excitation, which is the opposite effect of an inhibitory signal.<br><br><b><span style=""color:red"">Action potential spike</span></b><br>An IPSP prevents action potentials; it does not cause the massive voltage spike associated with firing.<br><br><b><span style=""color:red"">Zero potential</span></b><br>Moving toward zero is a form of depolarization; inhibition requires moving in the more negative direction.<br><br><b><span style=""color:red"">Positive overshoot</span></b><br>A positive interior only occurs during the peak of an action potential, never during an inhibitory event.<br><br><center><b><span style=""color:goldenrod"">💡 Tip</span></b><br>IPSP = ""Inhibit"" = ""Interior"" more negative = Hyperpolarization.</center></div>"
,,,,Cell Physiology (BRS),Neuromuscular Transmission,What is the primary pharmacological mechanism of Neostigmine?,Blocks ACh release,AChE inhibitor,Blocks nicotinic receptors,Inhibits choline reuptake,Activates GABA receptors,B,"<div style=""text-align: justify""><b><span style=""color:green"">AChE inhibitor</span></b><br>By blocking the enzyme acetylcholinesterase, Neostigmine prevents the breakdown of ACh, allowing it to act longer in the synapse.<br><br><b><span style=""color:red"">Blocks ACh release</span></b><br>This drug actually increases the availability of ACh by stopping its destruction, rather than preventing its release.<br><br><b><span style=""color:red"">Blocks nicotinic receptors</span></b><br>Blocking receptors would cause paralysis; Neostigmine is used to overcome such blocks by flooding the area with ACh.<br><br><b><span style=""color:red"">Inhibits choline reuptake</span></b><br>This is the mechanism of Hemicholinium, which depletes ACh stores rather than prolonging its life.<br><br><b><span style=""color:red"">Activates GABA receptors</span></b><br>Neostigmine targets the cholinergic system at the NMJ, having no direct relation to the central GABAergic system.<br><br><center><b><span style=""color:goldenrod"">💡 Tip</span></b><br>Neostigmine = ""No-Stingy"" with ACh. It keeps it around!</center></div>"
,,,,Cell Physiology (BRS),Neuromuscular Transmission,Which drug works by specifically blocking the reuptake of choline into the nerve terminal?,Neostigmine,Lidocaine,Hemicholinium,Tetrodotoxin,Dopamine,C,"<div style=""text-align: justify""><b><span style=""color:green"">Hemicholinium</span></b><br>This drug starves the nerve terminal of choline, the essential raw material needed to synthesize new Acetylcholine.<br><br><b><span style=""color:red"">Neostigmine</span></b><br>Neostigmine focuses on the enzyme that breaks down ACh in the cleft, not the reuptake of its precursors.<br><br><b><span style=""color:red"">Lidocaine</span></b><br>Lidocaine is a sodium channel blocker used for local anesthesia, unrelated to choline transport.<br><br><b><span style=""color:red"">Tetrodotoxin</span></b><br>This toxin blocks voltage-gated sodium channels, stopping the signal entirely rather than interfering with chemical recycling.<br><br><b><span style=""color:red"">Dopamine</span></b><br>Dopamine is a neurotransmitter itself and does not function as an inhibitor of choline transporters.<br><br><center><b><span style=""color:goldenrod"">💡 Tip</span></b><br>Hemi-CHOLIN-ium blocks the CHOLINE reuptake.</center></div>"
,,,,Cell Physiology (BRS),Neuromuscular Transmission,Myasthenia gravis is characterized by which pathological change at the neuromuscular junction?,Excessive ACh release,Reduced number of ACh receptors,Hypertrophy of the end plate,Increased AChE activity,Blocked sodium channels,B,"<div style=""text-align: justify""><b><span style=""color:green"">Reduced number of ACh receptors</span></b><br>In this autoimmune condition, antibodies destroy nicotinic receptors, making it difficult for the muscle to respond to nerve signals.<br><br><b><span style=""color:red"">Excessive ACh release</span></b><br>The issue is the ""target"" (receptors), not the ""signal"" (ACh release), which remains relatively normal.<br><br><b><span style=""color:red"">Hypertrophy of the end plate</span></b><br>The end plate actually becomes less effective and simplified due to receptor loss, rather than growing larger.<br><br><b><span style=""color:red"">Increased AChE activity</span></b><br>While we use AChE inhibitors to treat it, the disease itself is caused by receptor loss, not an overactive enzyme.<br><br><b><span style=""color:red"">Blocked sodium channels</span></b><br>The pathology is at the receptor-ligand level; voltage-gated sodium channels are typically intact but don't get the signal to open.<br><br><center><b><span style=""color:goldenrod"">💡 Tip</span></b><br>Myasthenia Gravis = ""Grave"" lack of receptors.</center></div>"
